,ds,trend,yhat,yhat_lower,yhat_upper,fact,anomaly,importance
865,2019-05-23,9402.98339421519,9402.98339421519,8335.36856766203,10583.252330569234,9114.0,0,0.0
866,2019-05-24,9405.392668404602,9405.392668404602,8150.489008671911,10577.308856001653,9174.599609,0,0.0
867,2019-05-27,9412.620490972837,9412.620490972837,8307.354198161385,10597.378962799257,9216.400391,0,0.0
868,2019-05-28,9415.02976516225,9415.02976516225,8242.004136711987,10766.74534731117,9191.799805,0,0.0
869,2019-05-29,9417.439039351659,9417.439039351659,8169.039180465939,10684.217100227117,9080.5,0,0.0
870,2019-05-30,9419.848313541072,9419.848313541072,8291.797814412095,10574.85371637338,9157.799805,0,0.0
871,2019-05-31,9422.257587730483,9422.257587730483,8336.558550521704,10473.825143244076,9004.200195,0,0.0
872,2019-06-03,9429.485410298717,9429.485410298717,8253.006789592677,10602.797554072156,9022.799805,0,0.0
873,2019-06-04,9431.894684488128,9431.894684488128,8156.077361979071,10823.322213824753,9117.599609,0,0.0
874,2019-06-05,9434.303958677541,9434.303958677541,8229.285290809026,10558.733701512621,9150.5,0,0.0
875,2019-06-06,9436.713232866952,9436.713232866952,8298.845009603123,10619.548669311895,9169.200195,0,0.0
876,2019-06-07,9439.122507056363,9439.122507056363,8132.245979629281,10530.268246035195,9236.099609,0,0.0
877,2019-06-10,9446.350329624598,9446.350329624598,8297.787480265237,10706.907527749887,9294.099609,0,0.0
878,2019-06-11,9448.759603814011,9448.759603814011,8162.782054224555,10742.630912269515,9282.099609,0,0.0
879,2019-06-12,9451.16887800342,9451.16887800342,8285.801990480031,10605.767885266865,9238.5,0,0.0
880,2019-06-13,9453.578152192833,9453.578152192833,8283.0759502806,10571.38754605347,9247.099609,0,0.0
881,2019-06-14,9455.987426382244,9455.987426382244,8142.885601469477,10584.589977971584,9194.200195,0,0.0
882,2019-06-17,9463.215248950479,9463.215248950479,8295.948219632488,10676.864590307896,9131.700195,0,0.0
883,2019-06-18,9465.624523139892,9465.624523139892,8286.309280251477,10780.623927066012,9240.700195,0,0.0
884,2019-06-19,9468.033797329303,9468.033797329303,8282.104574024263,10680.394991309917,9231.200195,0,0.0
885,2019-06-20,9470.443071518714,9470.443071518714,8251.965288397902,10604.205451388178,9208.5,0,0.0
886,2019-06-21,9472.852345708125,9472.852345708125,8240.797664962767,10702.896891600809,9227.200195,0,0.0
887,2019-06-24,9480.08016827636,9480.08016827636,8207.555518020414,10616.906934601717,9192.5,0,0.0
888,2019-06-25,9482.48944246577,9482.48944246577,8334.565216344965,10545.193037605768,9159.799805,0,0.0
889,2019-06-26,9484.898716655183,9484.898716655183,8297.906171766943,10657.642060438822,9157.400391,0,0.0
890,2019-06-27,9487.307990844594,9487.307990844594,8266.394075422108,10950.396657773103,9147.799805,0,0.0
891,2019-06-28,9489.717265034007,9489.717265034007,8338.658191490355,10659.06424528586,9198.799805,0,0.0
892,2019-07-01,9496.94508760224,9496.94508760224,8413.328771592316,10622.706224315356,9264.599609,0,0.0
893,2019-07-02,9499.354361791653,9499.354361791653,8274.511210436354,10695.770931487737,9281.5,0,0.0
894,2019-07-03,9501.763635981064,9501.763635981064,8434.624908484611,10639.398595073679,9394.400391,0,0.0
895,2019-07-04,9504.172910170475,9504.172910170475,8329.240059449256,10658.783077573255,9401.0,0,0.0
896,2019-07-05,9506.582184359886,9506.582184359886,8291.718639787203,10873.572493717265,9335.0,0,0.0
897,2019-07-08,9513.81000692812,9513.81000692812,8324.572054097605,10790.17272679136,9284.700195,0,0.0
898,2019-07-09,9508.068783648305,9508.068783648305,8270.622739080432,10619.125718392468,9273.900391,0,0.0
899,2019-07-10,9502.327560368487,9502.327560368487,8323.728668714919,10598.700265419524,9252.900391,0,0.0
900,2019-07-11,9496.58633708867,9496.58633708867,8320.170254690342,10747.462048365263,9280.299805,0,0.0
901,2019-07-12,9490.845113808853,9490.845113808853,8359.70646510987,10777.179643640528,9293.200195,0,0.0
902,2019-07-15,9473.621443969403,9473.621443969403,8231.998654004396,10622.666189706104,9323.599609,0,0.0
903,2019-07-16,9467.880220689585,9467.880220689585,8267.700360411824,10643.921821118187,9377.099609,0,0.0
904,2019-07-17,9462.138997409767,9462.138997409767,8216.581478732727,10664.364484281281,9284.200195,0,0.0
905,2019-07-18,9456.397774129951,9456.397774129951,8386.592545398782,10753.418433101191,9225.700195,0,0.0
906,2019-07-19,9450.656550850133,9450.656550850133,8146.875891623738,10555.479185840111,9170.5,0,0.0
907,2019-07-22,9433.432881010684,9433.432881010684,8236.748031535979,10581.171354217324,9163.5,0,0.0
908,2019-07-23,9427.691657730866,9427.691657730866,8312.043695542889,10615.966706992895,9281.599609,0,0.0
909,2019-07-24,9421.95043445105,9421.95043445105,8159.954241491175,10540.448315189335,9329.700195,0,0.0
910,2019-07-25,9416.209211171232,9416.209211171232,8217.268036897494,10660.524809453735,9289.900391,0,0.0
911,2019-07-26,9410.467987891414,9410.467987891414,8120.466296307943,10607.053418520603,9225.5,0,0.0
912,2019-07-29,9393.244318051964,9393.244318051964,8246.963518987075,10610.867837639213,9215.400391,0,0.0
913,2019-07-30,9387.503094772146,9387.503094772146,8289.686132470502,10483.62589719853,8986.599609,0,0.0
914,2019-07-31,9381.76187149233,9381.76187149233,8249.66286253581,10571.50005952387,8971.0,0,0.0
915,2019-08-01,9376.020648212514,9376.020648212514,8301.828640590584,10424.63822660654,9038.200195,0,0.0
916,2019-08-02,9370.279424932696,9370.279424932696,8220.016483079211,10591.620457550733,8897.599609,0,0.0
917,2019-08-05,9353.055755093244,9353.055755093244,8198.902992464056,10550.140308442255,8777.200195,0,0.0
918,2019-08-06,9347.314531813427,9347.314531813427,8230.630009020573,10484.580535780093,8699.400391,0,0.0
919,2019-08-07,9341.57330853361,9341.57330853361,8176.9249319174205,10530.40221124631,8746.099609,0,0.0
920,2019-08-08,9335.832085253793,9335.832085253793,8128.600529024412,10407.052695203898,8869.0,0,0.0
921,2019-08-09,9330.090861973977,9330.090861973977,8171.140420040028,10521.792255998556,8757.799805,0,0.0
922,2019-08-12,9312.867192134525,9312.867192134525,8039.9354797038095,10432.023190509017,8676.400391,0,0.0
923,2019-08-13,9307.125968854709,9307.125968854709,8234.782037462517,10416.87650946369,8695.099609,0,0.0
924,2019-08-14,9301.384745574891,9301.384745574891,8057.553644610932,10524.169762715419,8522.700195,0,0.0
925,2019-08-15,9295.643522295075,9295.643522295075,8164.664778184201,10372.755789747729,8519.0,0,0.0
926,2019-08-16,9289.902299015257,9289.902299015257,8225.583300905058,10450.233952327457,8670.400391,0,0.0
927,2019-08-19,9272.678629175807,9272.678629175807,8044.100026589935,10378.307489272269,8733.299805,0,0.0
928,2019-08-20,9266.93740589599,9266.93740589599,8066.722897333972,10487.821942806902,8618.299805,0,0.0
929,2019-08-21,9261.196182616173,9261.196182616173,8155.903286997356,10419.345072726639,8701.5,0,0.0
930,2019-08-22,9255.454959336355,9255.454959336355,8104.0881666043315,10383.53871806588,8716.400391,0,0.0
931,2019-08-23,9249.713736056538,9249.713736056538,8070.427284141566,10338.225454846659,8649.5,0,0.0
932,2019-08-26,9232.490066217086,9232.490066217086,8045.719834222547,10542.267607846956,8679.200195,0,0.0
933,2019-08-27,9226.74884293727,9226.74884293727,8059.040462484079,10408.11450721307,8728.900391,0,0.0
934,2019-08-28,9221.007619657454,9221.007619657454,8056.484785816073,10417.586092016352,8747.099609,0,0.0
935,2019-08-29,9215.266396377636,9215.266396377636,7929.321474460256,10574.330091781632,8794.299805,0,0.0
936,2019-08-30,9209.52517309782,9209.52517309782,8008.615958277686,10429.88583300498,8812.900391,0,0.0
937,2019-09-02,9192.301503258368,9192.301503258368,7969.242767716343,10352.407890561542,8815.5,0,0.0
938,2019-09-03,9186.560279978552,9186.560279978552,8031.10795544545,10332.576034572767,8809.200195,0,0.0
939,2019-09-04,9180.819056698734,9180.819056698734,7955.380842956491,10367.683964833772,8856.599609,0,0.0
940,2019-09-05,9175.077833418916,9175.077833418916,7996.473278045112,10342.978411481177,8992.700195,0,0.0
941,2019-09-06,9169.3366101391,9169.3366101391,7940.579478703205,10217.126030317475,8990.099609,0,0.0
942,2019-09-09,9152.112940299648,9152.112940299648,7998.686194936414,10415.191544529358,9010.599609,0,0.0
943,2019-09-10,9146.371717019832,9146.371717019832,7868.988692839947,10401.804947939541,9078.200195,0,0.0
944,2019-09-11,9140.630493740015,9140.630493740015,8031.570408331653,10429.645829306204,9059.5,0,0.0
945,2019-09-12,9134.889270460199,9134.889270460199,7972.455136749372,10267.704398737631,9082.299805,0,0.0
946,2019-09-13,9129.148047180382,9129.148047180382,7923.250244604621,10365.611704740266,9137.900391,0,0.0
947,2019-09-16,9111.924377340929,9111.924377340929,7970.56998909276,10286.37049034646,9052.0,0,0.0
948,2019-09-17,9106.183154061113,9106.183154061113,7990.089591583566,10327.442879295852,9004.200195,0,0.0
