Dates;PX_LAST;LAST_PRICE;PX_VOLUME
12/16/2010;;22041.44;30344700
12/17/2010;;22035.58;12015321
12/20/2010;;22092.86;11320791
12/21/2010;;22445.14;12356752
12/22/2010;;22718.62;20164734
12/23/2010;;22689.38;10178782
12/24/2010;;22791.27;2304528
12/27/2010;;22959.71;7515221
12/28/2010;;23057.3;12824035
12/29/2010;;23178.45;15618468
12/30/2010;;23252.57;10902058
12/31/2010;;23374.57;5244867
01/03/2011;;23647.92;14079150
01/04/2011;;23490.09;12514596
01/05/2011;;23495.61;15113788
01/06/2011;;23305.04;13918627
01/07/2011;;22928.85;15585431
01/10/2011;;22502.52;13253464
01/11/2011;;22675.23;10323417
01/12/2011;;22631.86;15810116
01/13/2011;;22166.93;17532710
01/14/2011;;21792.57;11450427
01/17/2011;;21819.53;6955003
01/18/2011;;22119.08;12856843
01/19/2011;;22128.27;10015157
01/20/2011;;21705.47;8236155
01/21/2011;;21651.64;11280859
01/24/2011;;21857.05;7226416
01/25/2011;;21735.14;15478223
01/26/2011;;22005.95;15238928
01/27/2011;;22502.92;25373867
01/28/2011;;22530.71;21978429
01/31/2011;;22887.41;11006295
02/01/2011;;23218.52;17653239
02/02/2011;;23419.93;70343965
02/03/2011;;23724.08;26091922
02/04/2011;;23701.56;12482273
02/07/2011;;23777.04;9997482
02/08/2011;;23487.93;13680965
02/09/2011;;22989.58;17008467
02/10/2011;;22861.64;5411018
02/11/2011;;22772.1;5444382
02/14/2011;;22985.35;4418886
02/15/2011;;22761.08;10684576
02/16/2011;;22788.76;8846646
02/17/2011;;22793.27;8044780
02/18/2011;;23041.59;6835131
02/21/2011;;23028.9;5695691
02/22/2011;;22694.93;18243403
02/23/2011;;22616.51;8615527
02/24/2011;;22635.95;6097696
02/25/2011;;22766.73;6584483
02/28/2011;;22842.96;16893772
03/01/2011;;22689.04;5028745
03/02/2011;;22709.28;8867848
03/03/2011;;22623.39;6686133
03/04/2011;;22662.51;5988592
03/07/2011;;22563.34;4656874
03/08/2011;;22442.21;8265790
03/09/2011;;22167.65;6144561
03/10/2011;;21625.29;11913050
03/11/2011;;21784.13;7919614
03/14/2011;;21453.22;4425717
03/15/2011;;20982.75;14629338
03/16/2011;;20984.13;11370575
03/17/2011;;20758.13;12931060
03/18/2011;;20496.59;13198773
03/21/2011;;21375.17;82309512
03/22/2011;;21961.66;75559689
03/23/2011;;22259.34;15172788
03/24/2011;;22557.82;16131734
03/25/2011;;22242.55;19941963
03/28/2011;;21095.67;31504632
03/29/2011;;21496.34;13099958
03/30/2011;;21807.64;14426976
03/31/2011;;21957.49;9777725
04/01/2011;;21562.53;17876439
04/04/2011;;21179.11;24742657
04/05/2011;;21441.84;10618528
04/06/2011;;21554.14;14296501
04/07/2011;;21147.76;28268954
04/08/2011;;21255.83;19902770
04/11/2011;;20588.69;20474050
04/12/2011;;19848.49;34132736
04/13/2011;;18613.96;41289286
04/14/2011;;18730.84;78610756
04/15/2011;;19371.26;126140575
04/18/2011;;18852.91;16588243
04/19/2011;;18999.17;22683193
04/20/2011;;18798.67;19953474
04/21/2011;;18798.67;19953474
04/22/2011;;18798.67;19953474
04/25/2011;;18176.55;17142743
04/26/2011;;17765.63;15948324
04/27/2011;;17959.32;21574031
04/28/2011;;18971.59;22198780
04/29/2011;;19636.22;34176274
05/02/2011;;19534.32;6198050
05/03/2011;;19485.14;9449346
05/04/2011;;20678.38;28530271
05/05/2011;;20638.49;14628171
05/06/2011;;21769.92;30374333
05/09/2011;;21598.84;15112482
05/10/2011;;21129.86;10754375
05/11/2011;;20735.46;15083705
05/12/2011;;21483.63;19421492
05/13/2011;;22080.21;16903272
05/16/2011;;22053.07;13268702
05/17/2011;;21969.04;12984340
05/18/2011;;22070.8;13231743
05/19/2011;;22034.42;8760198
05/20/2011;;21814.19;7544301
05/23/2011;;21478.64;5406769
05/24/2011;;21776.94;6782786
05/25/2011;;21999.71;9460115
05/26/2011;;22619.09;22458237
05/27/2011;;22375.3;15876671
05/30/2011;;21217.76;18988598
05/31/2011;;21566.07;10965553
06/01/2011;;20283.93;56419806
06/02/2011;;21736.48;43976929
06/03/2011;;21227.68;22569469
06/06/2011;;18585.81;17530830
06/07/2011;;19881.1;29039999
06/08/2011;;20581.13;20282055
06/09/2011;;20953.26;16383795
06/10/2011;;20661.02;6242763
06/13/2011;;20597.58;4599080
06/14/2011;;20677.88;5277762
06/15/2011;;20146.17;6308540
06/16/2011;;19813.6;4564249
06/17/2011;;19898.22;8405040
06/20/2011;;19734.02;2779936
06/21/2011;;19221.42;6910836
06/22/2011;;19149.9;3684622
06/23/2011;;19013.57;5557755
06/24/2011;;18996.88;4119405
06/27/2011;;18842.29;2838956
06/28/2011;;18719.46;6906139
06/29/2011;;18719.46;6906139
06/30/2011;;18878.78;8631575
07/01/2011;;19207.77;7595755
07/04/2011;;19368.44;4079878
07/05/2011;;19375.02;4846831
07/06/2011;;19459.57;4238846
07/07/2011;;19863.51;5521497
07/08/2011;;19916.9;4279110
07/11/2011;;19763.8;3656199
07/12/2011;;19931.9;4795140
07/13/2011;;20220.94;14015730
07/14/2011;;20181.82;17560440
07/15/2011;;20345.75;9594893
07/18/2011;;21284.74;19151091
07/19/2011;;21963.55;17543867
07/20/2011;;22176.12;13878768
07/21/2011;;22164.41;19850521
07/22/2011;;22049.23;11031102
07/25/2011;;22077.03;3717556
07/26/2011;;22307.17;6537392
07/27/2011;;21963.1;9594977
07/28/2011;;21963.1;9594977
07/29/2011;;21963.1;9594977
08/01/2011;;21943.78;6596585
08/02/2011;;21710.28;10830997
08/03/2011;;21517.25;7603385
08/04/2011;;20319.87;9222487
08/05/2011;;20160.11;18352046
08/08/2011;;18730.56;18992816
08/09/2011;;19212.6;19442672
08/10/2011;;18969.23;14680158
08/11/2011;;19678.72;14174185
08/12/2011;;19937.43;8302975
08/15/2011;;20067.39;7290661
08/16/2011;;19772;6675392
08/17/2011;;19980.02;7481025
08/18/2011;;19516.14;7286952
08/19/2011;;19378.12;6014246
08/22/2011;;19388.57;4896486
08/23/2011;;19488.45;3551908
08/24/2011;;19502.86;9875962
08/25/2011;;19475.44;5422383
08/26/2011;;19795.94;10662532
08/29/2011;;20019.9;10696844
08/30/2011;;20019.9;10696844
08/31/2011;;20697.11;18382073
09/01/2011;;20726.6;10645852
09/02/2011;;20443.56;5674529
09/05/2011;;20108.41;7041616
09/06/2011;;19931.29;8890535
09/07/2011;;20134.76;27111098
09/08/2011;;20077.53;9869197
09/09/2011;;19906.55;4030554
09/12/2011;;19939.77;4170899
09/13/2011;;19980.85;3204055
09/14/2011;;20179.69;5887003
09/15/2011;;20426.79;6187861
09/16/2011;;20573.07;12228152
09/19/2011;;20321.09;4565822
09/20/2011;;20305.74;6951848
09/21/2011;;19933.32;8929913
09/22/2011;;19011.88;15797214
09/23/2011;;18813.82;6287019
